id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,name_modified,fingerprint
151,Stuffed olives,,459,466,1862,1969,0,50,stuffed olives,olives stuffed
153,Malaga grapes,,344,346,1882,1941,0.1,40,malaga grapes,grapes malaga
155,Oatmeal,,500,555,1,1988,0,20,oatmeal,oatmeal
156,hominy with milk,,33,33,1900,1943,0,0,hominy with milk,hominy milk with
157,Baked apples,,263,265,1865,1972,0.05,20,baked apples,apples baked
160,"Terrapin, Maryland",,99,111,1887,1917,0.65,350,"terrapin, maryland",maryland terrapin
163,Charlotte Russe,,811,887,1858,1973,0,30,charlotte russe,charlotte russe
164,Tutti frutti,,122,135,1883,1969,0.2,25,tutti frutti,frutti tutti
165,Lady fingers,,330,336,1858,1949,0.05,15,lady fingers,fingers lady
169,Club sandwich,,617,635,1896,2928,0,40,club sandwich,club sandwich
174,Demi-tasse,,838,873,1892,1979,0,15,demi-tasse,demi tasse
176,Oyster Bay asparagus,,267,273,1895,1941,0.15,75,oyster bay asparagus,asparagus bay oyster
181,Chicken broth,,397,408,1881,1971,0,50,chicken broth,broth chicken
182,Fruits in Season,,135,136,1889,1987,0.05,3.95,fruits in season,fruits in season
186,Plain Omelette,,292,318,1881,1987,0,15,"omelette, plain",omelette plain
192,Strawberry short cake,,270,275,1882,1987,0,125,strawberry short cake,cake short strawberry
199,Queen olives,,687,703,1865,1989,0,15,queen olives,olives queen
200,Chow chow,,669,679,1865,1965,0,20,chow chow,chow
202,German fried potatoes,,118,123,1898,1969,0.05,0.5,"potatoes, fried, german",fried german potatoes
203,Ribs of prime beef,,141,143,1891,1921,0.25,50,ribs of prime beef,beef of prime ribs
211,Assorted cakes,,1319,1343,1880,2012,0,30,"cakes, assorted",assorted cakes
213,Irish stew,,161,192,1864,1955,0,0.5,irish stew,irish stew
216,Potato salad,,1281,1311,1881,1987,0,25,"salad, potato",potato salad
217,Chicken salad,,1790,1859,1858,1987,0,100,"salad, chicken",chicken salad
218,Spinach with egg,,203,209,1896,1965,0.1,20,spinach with egg,egg spinach with
220,Baba au rhum,,101,105,1882,1985,0,25,baba au rhum,au baba rhum
222,Tongue,,679,712,1851,1965,0,95,tongue,tongue
223,Lemon ice cream,,135,135,1852,1981,0,25,lemon ice cream,cream ice lemon
224,Pickled lambs' tongues,,54,54,1895,1962,0.3,0.5,pickled lambs' tongues,lambs pickled tongues
229,Turkey,,430,442,1858,1987,0,80,turkey,turkey
230,Crackers,,959,979,1854,1987,0,10,crackers,crackers
231,Chocolate,,1474,1549,1858,1987,0,30,chocolate,chocolate
232,Roast beef,,1229,1340,1851,1987,0,75,roast beef,beef roast
233,Corned beef,,805,854,1862,1985,0,50,corned beef,beef corned
235,Lamb,,423,432,1865,1949,0,60,lamb,lamb
237,Chicken,,651,779,1866,1985,0,125,chicken,chicken
238,Fried Eggs,,543,558,1856,1987,0,20,"eggs, fried",eggs fried
239,Broiled Ham,,614,624,1,1970,0,25,"ham, broiled",broiled ham
241,Rolls,,422,483,1881,1989,0,2.5,rolls,rolls
244,Porterhouse Steak,,256,262,1884,1962,0,5,porterhouse steak,porterhouse steak
245,Pommes de Terre a la Creme,,4,4,1900,1906,0.3,0.3,pommes de terre a la creme,a creme de la pommes terre
246,Tenderloin Steak,,548,568,1858,1980,0.3,80,tenderloin steak,steak tenderloin
247,Sirloin Steak,,868,885,1,1987,0,235,"steak, sirloin",sirloin steak
253,Hamburger Steak,,281,304,1893,1968,0,20,hamburger steak,hamburger steak
259,Fried Liver,,27,28,1856,1961,0,10,fried liver,fried liver
266,Box Stew,,73,77,1892,1939,0.2,40,box stew,box stew
270,Hominy,,418,503,1,1969,0.1,0.35,hominy,hominy
272,Eggs au Beurre Noir,,45,46,1896,1941,0.19,30,eggs au beurre noir,au beurre eggs noir
275,Sirloin Steak with Mushrooms,,211,213,1884,1939,0,75,sirloin steak with mushrooms,mushrooms sirloin steak with
281,Marmalade,,719,751,1888,1973,0,25,marmalade,marmalade
283,Cocoa,,1605,1669,1865,1987,0,25,cocoa,cocoa
286,Scrambled Eggs,,562,578,1853,1987,0,28,"eggs, scrambled",eggs scrambled
287,Poached Eggs on Toast,,345,349,1892,1987,0,20,"eggs, poached, on toast",eggs on poached toast
288,Broiled Fresh Mackerel,,112,122,1887,1962,0,2.5,broiled fresh mackerel,broiled fresh mackerel
305,Pork Chops Piquante Sauce,,2,2,1901,1901,0,0,pork chops piquante sauce,chops piquante pork sauce
315,Dry Toast,,708,731,1856,1969,0,10,dry toast,dry toast
332,Roast Lamb,,200,203,1851,1957,0,80,roast lamb,lamb roast
336,oatmeal with cream,,102,102,1897,1952,0.1,25,oatmeal with cream,cream oatmeal with
337,broiled shad,,118,124,1881,1940,0.25,60,broiled shad,broiled shad
344,Saratoga Chips,,408,437,1881,1969,0.05,0.3,saratoga chips,chips saratoga
346,Grilled Mutton Chops,,35,35,1892,1910,,,grilled mutton chops,chops grilled mutton
352,Buckwheat Cakes,,344,348,1,1962,0,20,buckwheat cakes,buckwheat cakes
355,Broiled Salt Mackerel,,126,130,1859,1949,0,0.8,broiled salt mackerel,broiled mackerel salt
367,Oyster Omelette,,65,75,1892,1946,0.2,25,oyster omelette,omelette oyster
370,Corned Beef Hash,,583,625,1,1959,0.1,25,corned beef hash,beef corned hash
372,Mock Turtle,,140,142,1865,1966,0,40,mock turtle,mock turtle
377,Consomme Plain,,31,31,1887,1937,0.15,25,consomme plain,consomme plain
385,Eggs to order,,263,264,1891,1973,,,eggs to order,eggs order to
394,French bread,,291,293,1882,1970,0.05,0.15,french bread,bread french
395,Corn bread,,272,274,1853,1941,0,10,corn bread,bread corn
399,Tomato Soup,,306,343,1852,1974,0,10,"soup, tomato",soup tomato
407,Fruit in Season,,192,201,1890,1987,0,20,fruit in season,fruit in season
408,GREEN PEAS,,1343,1380,1858,1985,0,75,green peas,green peas
411,Ham omelette,,141,147,1891,1985,0,15,ham omelette,ham omelette
412,Fried hominy,,188,188,1881,1967,0.1,0.25,"hominy, fried",fried hominy
413,Broiled bluefish,,198,206,1880,1963,0.2,60,broiled bluefish,bluefish broiled
417,Boiled or Broiled Salt Mackerel,,11,11,1900,1917,0.25,40,boiled or broiled salt mackerel,boiled broiled mackerel or salt
420,Codfish in Cream,,88,89,1,1941,0,0.6,codfish in cream,codfish cream in
422,Breakfast Bacon,,187,190,1891,1969,0.15,0.75,breakfast bacon,bacon breakfast
423,Calf's Liver and Bacon,,357,369,1,1967,0,40,calf's liver and bacon,and bacon calf liver s
426,Broiled Spring Chicken,,225,230,1859,1958,0.1,100,broiled spring chicken,broiled chicken spring
429,"Corned Beef Hash, Browned",,58,60,1898,1940,0.15,30,"corned beef hash, browned",beef browned corned hash
430,"Veal Cutlets, Breaded, Tomato Sauce",,30,30,1882,1912,0.2,1,"veal, cutlets, breaded, with tomato sauce",breaded cutlets sauce tomato veal
432,"Frizzled Beef, in Cream",,6,6,1900,1901,0.3,0.4,"frizzled beef, in cream",beef cream frizzled in
433,Eggs as Ordered,,83,84,1898,1949,,,"eggs, as ordered",as eggs ordered
439,French Fried,,64,66,1893,1973,0,30,french fried,french fried
466,"Eggs, boiled",,168,172,1880,1970,0.1,20,"eggs, boiled",boiled eggs
468,Consomme Macaroni,,23,23,1892,1907,0.2,0.25,consomme macaroni,consomme macaroni
471,Cream Cheese,,954,1038,1887,1987,0,25,cream cheese,cheese cream
478,Shirred Eggs,,342,347,1858,1987,0,19,"eggs, shirred",eggs shirred
507,Fried & Boiled Potatoes,,8,8,1899,1901,,,fried & boiled potatoes,boiled fried potatoes
533,liver and bacon,,141,148,1889,1962,0.1,15,liver and bacon,and bacon liver
535,Fried Chicken a la Maryland,,24,24,1898,1958,0.2,5.6,fried chicken a la maryland,a chicken fried la maryland
537,Salt mackerel,,323,329,1859,1945,0,30,salt mackerel,mackerel salt
539,Cold Ham with Potato Salad,,32,32,1900,1955,0,1.75,cold ham with potato salad,cold ham potato salad with
544,Oyster Stew,,398,419,1882,1982,0,50,oyster stew,oyster stew
553,Strawberries and Cream,,314,319,1880,1969,0,50,strawberries and cream,and cream strawberries
568,Cold Ham,,594,600,1854,1972,0,45,"ham, cold",cold ham
569,Cup Custard,,830,893,1854,2928,0,25,cup custard,cup custard
570,Codfish Cakes,,196,207,1859,1949,0,30,codfish cakes,cakes codfish
572,Lettuce,,889,942,1859,1988,0,35,lettuce,lettuce
575,Orange,,812,921,1,1977,0,25,orange,orange
580,Cheshire Cheese,,91,91,1865,1974,0.15,0.35,cheshire cheese,cheese cheshire
581,Stilton Cheese,,284,323,1881,1987,0,10,"cheese, stilton",cheese stilton
595,Hot Rolls,,376,400,1853,1983,0.05,0.2,hot rolls,hot rolls
615,Boiled Fried potatoes,,5,5,1900,1906,0.05,0.1,boiled fried potatoes,boiled fried potatoes
621,Tea + Coffee,,1,1,1901,1901,0,0,tea + coffee,coffee tea
637,&,,4,4,1901,1901,0,0,,
641,Broiled Lamb Chops,,76,79,1891,1967,0,5.25,broiled lamb chops,broiled chops lamb
647,Fried Bananas,,57,57,1886,1975,0.25,0.4,fried bananas,bananas fried
650,Boiled potato,,74,74,1893,1965,0.05,0.7,boiled potato,boiled potato
656,Fruit.,,40,41,1889,1901,,,fruit,fruit
660,Dipped Toast,,197,201,1859,1958,0,15,dipped toast,dipped toast
667,Mutton Chops,,594,603,1851,1958,0,60,mutton chops,chops mutton
672,Cold: Ox Tongue,,11,11,1900,1910,0,0,cold: ox tongue,cold ox tongue
691,Lamb Chops,,600,608,1,1988,0,75,lamb chops,chops lamb
715,Broiled Lobster,,108,116,1887,1961,0,60,broiled lobster,broiled lobster
725,Lynnhavens,,349,417,1896,2928,0,50,lynnhavens,lynnhavens
728,Veal Cutlets Breaded,,13,13,1895,1907,0.5,0.5,veal cutlets breaded,breaded cutlets veal
732,Cape Cods,,448,492,1896,1968,0.2,45,cape cods,cape cods
735,Mashed Turnips,,346,358,1856,1955,0,25,mashed turnips,mashed turnips
737,Potatoes,,297,327,1866,2928,0,15,potatoes,potatoes
738,Potatoes Saute,,100,104,1881,1973,0.1,0.4,"potatoes, sautéed",potatoes saute
744,Potatoes boiled and Mashed,,8,8,1900,1901,,,"potatoes, boiled and mashed",and boiled mashed potatoes
751,Toast,,427,491,1858,1989,0,1.05,toast,toast
754,Jelly omelette,,86,93,1900,1985,0,20,jelly omelette,jelly omelette
761,Pontet Canet,,353,384,1859,1955,0,150,pontet canet,canet pontet
762,Haut Sauternes,,250,278,1865,1973,0,150,haut sauternes,haut sauternes
763,Sherry,,396,419,1866,1990,0,3.5,sherry,sherry
764,Laubenheimer,,243,265,1881,1955,0.15,100,laubenheimer,laubenheimer
770,Pommery Sec,,258,262,1881,1918,0,32.5,"champagne, pommery (dry)",pommery sec
772,"Moet & Chandon, White Seal",,255,259,1884,1949,1.4,350,"champagne, moët & chandon, white seal",chandon moet seal white
776,Apollinaris,,1257,1361,1,1988,0,40.25,apollinaris,apollinaris
778,Blue Point Oysters,,473,511,1887,1987,0,40,blue point oysters,blue oysters point
790,Celery Salad,,411,425,1882,1973,0,60,"salad, celery",celery salad
791,Fancy Ice Cream,,158,158,1887,1953,0.25,0.5,fancy ice cream,cream fancy ice
795,Cheese,,1538,1577,1,1990,0,40,cheese,cheese
800,BAKED SWEET POTATOES,,311,312,1852,1965,0.05,30,"sweet potatoes, baked",baked potatoes sweet
822,Tea & Coffee,,11,11,1900,1901,,,tea & coffee,coffee tea
829,Congress Water,,329,335,1858,1915,0,25,congress water,congress water
837,Salad,,512,543,1854,2001,0,0.75,salad,salad
838,Cucumber,,321,354,1887,2928,0,50,cucumber,cucumber
866,Corned Beef and Cabbage,,250,254,1856,1961,0.1,85,corned beef and cabbage,and beef cabbage corned
872,Cauliflower,,864,923,1865,1987,0,70,cauliflower,cauliflower
873,String Beans,,1456,1538,1858,2928,0,60,string beans,beans string
875,Boiled and Mashed Potatoes,,61,62,1891,1912,0.05,0.15,"potatoes, boiled and mashed",and boiled mashed potatoes
878,Blackberry Pie,,105,108,1854,1958,0.05,0.35,blackberry pie,blackberry pie
882,Crackers and Cheese,,104,107,1881,1946,0,0.15,crackers and cheese,and cheese crackers
887,Broiled Mutton Chops,,52,52,1859,1910,,,broiled mutton chops,broiled chops mutton
892,Stewed rhubarb,,227,244,1889,1973,0,35,stewed rhubarb,rhubarb stewed
899,Sliced bananas with cream,,115,119,1900,1961,0,10,sliced bananas with cream,bananas cream sliced with
904,Buttered toast,,499,512,1856,1969,0,15,buttered toast,buttered toast
907,Milk toast,,663,677,1856,1965,0,30,"toast, milk",milk toast
909,Cream toast,,475,483,1865,1961,0,30,cream toast,cream toast
911,Cotuits,,295,340,1900,2928,0,45,cotuits,cotuits
914,Aprikosen- & Pflaumen-Kompott,,1,1,1899,1899,0,0,aprikosen- & pflaumen-kompott,aprikosen kompott pflaumen
919,Roast Turkey,,247,251,1851,1963,0,3.55,roast turkey,roast turkey
929,Corned beef hash browned,,36,36,1898,1921,0.15,1,corned beef hash browned,beef browned corned hash
967,Oysters a la Poulette,,104,104,1881,1957,0.35,50,oysters a la poulette,a la oysters poulette
988,Old Tom Gin,,148,149,1873,1941,0,150,"gin, old tom",gin old tom
989,Raspberries,,171,224,1865,1941,0,35,raspberries,raspberries
992,Blackberry Brandy,,128,129,1882,1985,0,3,blackberry brandy,blackberry brandy
1001,Gilka Kummel,,38,39,1900,1962,0,0.75,gilka kummel,gilka kummel
1004,Lobster Croquettes ,,78,78,1883,1907,0.3,1,lobster croquettes,croquettes lobster
1017,Broiled Sirloin Steak,,90,99,1880,1983,0.6,60,broiled sirloin steak,broiled sirloin steak
1034,Anchovies on Toast,,96,97,1892,1957,0.2,40,anchovies on toast,anchovies on toast
1047,Roast capon,,101,101,1880,1939,0.75,6,roast capon,capon roast
1050,Tutti-frutti ice cream,,71,72,1892,1971,0.15,25,tutti-frutti ice cream,cream frutti ice tutti
1052,Dessert,,762,807,1864,2928,0,40,dessert,dessert
1064,Sweet Pickles,,594,625,1890,1965,0,20,sweet pickles,pickles sweet
1086,Bermuda potatoes,,249,250,1882,1938,0.1,35,bermuda potatoes,bermuda potatoes
1091,Mixed-pickles,,15,15,1899,1910,0,0,mixed-pickles,mixed pickles
1099,Ham,,1223,1301,1851,2928,0,95,ham,ham
1103,Saute Potatoes,,387,399,1,1973,0,20,"potatoes, sautéed",potatoes saute
1105,Watercress,,339,344,1891,2928,0,30,watercress,watercress
1121,Anchovy Salad,,282,290,1892,1950,0,60,anchovy salad,anchovy salad
1125,Ginger Ale,,449,466,1873,1990,0,25,ginger ale,ale ginger
1174,Hors d'Oeuvres,,109,113,1885,1981,0,20,hors d'oeuvres,d hors oeuvres
1175,Croute-au-Pot,,28,33,1896,1962,0.2,40,croute-au-pot,au croute pot
1177,Olives,,4175,4405,1858,1980,0,35,olives,olives
1181,Pea Soup,,116,117,1856,1943,0,25,pea soup,pea soup
1186,Consomme,,832,987,1865,1976,0,35,consomme,consomme
1199,"Pork, Apple Sauce",,10,10,1900,1901,0.2,0.4,"pork, apple sauce",apple pork sauce
1200,"Turkey, Cranberry Sauce",,109,109,1882,1914,0.3,80,"turkey, cranberry sauce",cranberry sauce turkey
1202,Soft Shell Crabs,,173,183,1,1980,0.15,60,soft shell crabs,crabs shell soft
1205,Turkish Coffee,,478,605,1895,1971,0,25,turkish coffee,coffee turkish
1210,"Lettuce, French dressing",,71,71,1890,1928,0.1,0.35,"lettuce, french dressing",dressing french lettuce
1214,Cream,,348,379,1887,1970,0,30,cream,cream
1215,Fruits,,834,856,1864,1978,0,10,fruits,fruits
1219,Cheese and Crackers,,181,192,1891,1987,0.15,0.75,cheese and crackers,and cheese crackers
1223,Fresh Strawberries,,229,242,1895,1987,0,100,fresh strawberries,fresh strawberries
1230,Bar-le-Duc,,202,229,1893,1955,0,40,bar-le-duc,bar duc le
1239,"Cocoa,",,2,2,1899,1900,0,0,"cocoa,",cocoa
1254,"Rolls, ",,4,4,1900,1901,0,0,"rolls,",rolls
1279,Mixed ice cream,,284,287,1882,1974,0,25,mixed ice cream,cream ice mixed
1283,ASSORTED CAKE,,941,946,1858,1971,0,20,assorted cake,assorted cake
1287,ROQUEFORT CHEESE,,1141,1197,1881,1985,0,30,"cheese, roquefort",cheese roquefort
1289,AMERICAN CHEESE,,1380,1406,1865,2012,0,25,"cheese, american",american cheese
1294,Clam Chowder,,472,530,1864,1987,0,200,clam chowder,chowder clam
1295,Green Corn,,350,441,1854,1929,0.05,40,green corn,corn green
1296,ENGLISH BREAKFAST TEA,,303,306,1880,1998,0,3.5,english breakfast tea,breakfast english tea
1299,GREEN TEA,,219,224,1865,1985,0,0.5,green tea,green tea
1301,"Chocolate, pot",,80,81,1898,1948,0.1,25,"chocolate, pot",chocolate pot
1303,Iced coffee,,538,590,1894,1988,0,25,iced coffee,coffee iced
1304,Iced tea,,818,896,1894,1989,0,30,iced tea,iced tea
1308,Roquefort,,1207,1376,1882,1985,0,30,roquefort,roquefort
1309,Gorgonzola,,463,544,1887,1983,0,30,gorgonzola,gorgonzola
1313,Camembert,,1105,1272,1881,2012,0,30,camembert,camembert
1315,Broiled Finnan Haddie,,32,32,1900,1963,0,2.6,broiled finnan haddie,broiled finnan haddie
1325,"Oysters, half shell",,20,21,1890,1939,0.15,10,"oysters, half shell",half oysters shell
1330,"Little Neck clams, half shell",,43,44,1884,1943,0.15,20,"little neck clams, half shell",clams half little neck shell
1331,Steamed clams,,117,119,1892,1980,0.25,60,"clams, steamed",clams steamed
1333,"Lobster, plain",,75,76,1854,1914,0.25,1,"lobster, plain",lobster plain
1334,Veal Cutlet Breaded,,43,43,1889,1944,0.15,1.25,"veal, cutlet, breaded",breaded cutlet veal
1335,Mutton Chops.,,3,3,1900,1901,0,0,mutton chops.,chops mutton
1351,Holland Gin,,122,123,1856,1947,0.1,200,"gin, holland",gin holland
1356,Medford Rum,,44,45,1881,1917,0.1,2,medford rum,medford rum
1367,Orange Bitters,,48,49,1895,1917,0.1,15,orange bitters,bitters orange
1371,Creme de Cacao,,209,212,1889,1985,0,85,creme de cacao,cacao creme de
1374,"Chartreuse, green",,139,143,1891,1962,0.1,1.5,"chartreuse, green",chartreuse green
1376,Benedictine,,722,736,1881,1990,0,20,benedictine,benedictine
1386,Extra sirloin steak,,193,194,1887,1942,0.3,100,"steak, sirloin (extra)",extra sirloin steak
1387,Poached eggs,,273,274,1853,1987,0,1,"eggs, poached",eggs poached
1392,Creme de Menthe,,597,610,1890,1987,0,15,creme de menthe,creme de menthe
1398,"WURZBURGER, Imported",,6,6,1900,1901,0.1,1,"wurzburger, imported",imported wurzburger
1405,Omelette au rhum,,101,105,1892,1969,0,2.5,omelette au rhum,au omelette rhum
1406,Fruit salad,,578,640,1898,1988,0,4.95,fruit salad,fruit salad
1409,Guava jelly,,262,270,1882,1965,0,0.5,guava jelly,guava jelly
1428,"Ginger Ale, Domestic",,60,63,1892,1943,0.1,0.3,"ginger ale, domestic",ale domestic ginger
1429,"Ginger Ale, Imported",,66,67,1882,1917,0.15,0.35,"ginger ale, imported",ale ginger imported
1434,White Rock,,520,523,1897,1967,0,40,white rock,rock white
1435,Apollinaris Water,,255,260,1880,1957,0,40,"water, apollinaris",apollinaris water
1441,PORT,,373,385,1881,1989,0,6,port,port
1453,Sauternes (Barton & Guestier),,4,4,1900,1900,0.75,1.25,sauternes (barton & guestier),barton guestier sauternes
1454,Sauterne,,545,567,1851,1984,0,8,sauterne,sauterne
1470,St. Julien (Barton & Guestier),,7,7,1899,1900,0.75,12,"wine, bordeaux, st. julien, barton & guestier",barton guestier julien st
1481,Ruinart Brut,,129,134,1889,1928,0,6.5,ruinart brut,brut ruinart
1484,"Veuve Clicquot, Yellow Label",,128,129,1882,1917,1.4,350,"champagne, veuve clicquot, yellow label",clicquot label veuve yellow
1486,"Pommery & Greno, Sec",,84,85,1881,1947,0,32.25,"champagne, pommery & greno (dry)",greno pommery sec
1492,with onions,,16,17,1900,1918,0.2,2.7,with onions,onions with
1493,with mushrooms,,20,61,1900,1920,0.25,250,with mushrooms,mushrooms with
1498,Double porterhouse steak,,26,26,1900,1918,1,4.5,"steak, porterhouse (double)",double porterhouse steak
1501,Oysters au gratin,,42,49,1892,1955,0.5,2.5,oysters au gratin,au gratin oysters
1502,Broiled half spring chicken on toast,,7,7,1900,1963,0,0,broiled half spring chicken on toast,broiled chicken half on spring toast
1503,"Bacon, broiled or fried",,14,14,1899,1914,0.25,0.4,"bacon, broiled or fried",bacon broiled fried or
1506,Ham and eggs,,548,576,1858,1987,0,30,ham and eggs,and eggs ham
1514,Welsh rarebit,,565,581,1882,1980,0,40,welsh rarebit,rarebit welsh
1516,"English mutton chops, brace",,21,21,1892,1908,0.4,0.9,"english mutton chops, brace",brace chops english mutton
1520,Frizzled beef with scrambled eggs,,8,8,1900,1901,0,0,"eggs, scrambled, with frizzled beef",beef eggs frizzled scrambled with
1523,Cold:,,13,13,1900,1910,,,cold:,cold
1524,Eggs,,72,73,1900,1989,0.5,1.5,eggs,eggs
1540,Tenderloin steak mushrooms,,15,15,1893,1906,0.4,1.25,tenderloin steak mushrooms,mushrooms steak tenderloin
1542,Broiled spring chicken half,,12,12,1898,1920,0.4,1.15,"chicken, spring, broiled (half)",broiled chicken half spring
1544,Roast chicken,,339,351,1857,1981,0,150,roast chicken,chicken roast
1548,Lamb chops (3),,59,60,1898,1943,0.3,1.45,lamb chops (3),3 chops lamb
1549,English mutton chop,,237,241,1896,1973,0,75,english mutton chop,chop english mutton
1550,Mutton chops (2),,88,88,1898,1941,0.15,40,"mutton, chops (2)",2 chops mutton
1553,Cold,,24,25,1900,1978,0.1,0.25,cold,cold
1554,English pheasant,,24,26,1884,1917,1.75,5,english pheasant,english pheasant
1557,Lobster,,291,326,1856,2928,0,75,lobster,lobster
1558,New string beans,,452,461,1884,1964,0,30,new string beans,beans new string
1568,Egg plant,,181,182,1865,1955,0,25,egg plant,egg plant
1580,"Cup consomme, hot or cold",,5,5,1899,1900,0,0,"consommé, hot or cold (cup)",cold consomme cup hot or
1581,French asparagus,,183,186,1889,1915,0.1,100,french asparagus,asparagus french
1583,Lima beans,,1132,1190,1865,1980,0,60,lima beans,beans lima
1585,French peas,,829,846,1882,1981,0,40,"peas, french",french peas
1587,Spaghetti,,233,285,1895,2928,0,50,spaghetti,spaghetti
1588,Macaroni,,216,258,1851,1969,0,50,macaroni,macaroni
1591,Succotash,,783,859,1880,1973,0,25,succotash,succotash
1595,Stuffed tomatoes,,255,257,1882,1973,0,60,stuffed tomatoes,stuffed tomatoes
1601,Spinach,,923,971,1854,1987,0,40,spinach,spinach
1604,Whole Broiled Spring Chicken,,16,16,1900,1950,0.5,3.5,"chicken, spring, broiled (whole)",broiled chicken spring whole
1609,Chicken (Half),,4,4,1901,1901,0.5,1.25,chicken (half),chicken half
1616,Peach Pie,,495,535,1854,1980,0,15,peach pie,peach pie
1620,Vanilla Eclairs,,69,69,1892,1943,0.05,10,vanilla eclairs,eclairs vanilla
1621,Port du Salut,,168,183,1891,1969,0,25,port du salut,du port salut
1622,American,,201,212,1892,2012,0.05,20,american,american
1632,Beef tongue,,138,142,1881,1955,0.25,40,beef tongue,beef tongue
1653,Smoked Salmon,,589,637,1,1993,0,50,smoked salmon,salmon smoked
1657,Dill Pickles,,311,313,1894,1965,0,15,dill pickles,dill pickles
1666,Baked Boston beans,,7,7,1900,1944,0,0,baked boston beans,baked beans boston
1669,"Spaghetti, Italienne",,77,77,1892,1958,0.1,3.5,"spaghetti, italienne",italienne spaghetti
1699,"Omelette, plain",,244,244,1882,1961,0.15,40,"omelette, plain",omelette plain
1709,"Omelette, with tomatoes",,35,35,1882,1914,0.2,0.5,"omelette, with tomatoes",omelette tomatoes with
1711,"Omelette, with ham",,53,53,1882,1914,0.2,40,"omelette, with ham",ham omelette with
